bg_current_fraction,clip_current,clip_previous,directional_coherence,energy_support90_fraction,energy_top10_fraction,flow_valid_fraction,frame_current,frame_previous,frequency_diagnosis,global_dc_l1,global_dc_rmse,local_frequency_share,local_rmse_share,motion_band,motion_mean_px,motion_p90_px,raw_temporal_l1,raw_temporal_mse,raw_temporal_rmse,raw_weight,sigma_16_coarse_l1,sigma_16_coarse_mse,sigma_16_coarse_rmse,sigma_16_local_l1,sigma_16_local_mse,sigma_16_local_rmse,sigma_16_weight,sigma_32_coarse_l1,sigma_32_coarse_mse,sigma_32_coarse_rmse,sigma_32_local_l1,sigma_32_local_mse,sigma_32_local_rmse,sigma_32_weight,sigma_8_coarse_l1,sigma_8_coarse_mse,sigma_8_coarse_rmse,sigma_8_local_l1,sigma_8_local_mse,sigma_8_local_rmse,sigma_8_weight,spatial_scope_diagnosis,status,teacher_flow,unit_id,valid_coverage,video,window_boundary
0.9725074768066406,ParkScene__000000-000007,ParkScene__000000-000007,0.05997214466333389,0.27327404513442655,0.7180116772651672,0.9949073791503906,1,0,local_high_frequency_dominant,0.0016712864162400365,0.0017927009612321854,0.9173173378211398,0.9173173378211398,moderate,0.7442593574523926,1.9683421850204468,0.027606593444943428,0.002092489041388035,0.04574373226342637,252856.0,0.0032379126641899347,1.6746345863793977e-05,0.004092229937796015,0.027187442407011986,0.0020612485241144896,0.04540097492471378,252856.0,0.0023731922265142202,8.606715709902346e-06,0.002933720455309665,0.02740929275751114,0.0020773739088326693,0.04557821748195808,252856.0,0.004528404679149389,3.469637886155397e-05,0.00589036321983237,0.026745418086647987,0.0020231474190950394,0.04497941105767215,252856.0,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_B/ParkScene/000000_000001.npz,ParkScene,0.964569091796875,ParkScene,0
0.9741668701171875,ParkScene__000000-000007,ParkScene__000000-000007,0.05324674770236015,0.2666177242568845,0.7215377688407898,0.9951171875,2,1,local_high_frequency_dominant,0.0014190630754455924,0.0016023552743718028,0.9253448312157644,0.9253448312157644,moderate,0.7699428796768188,1.965611457824707,0.027917323634028435,0.002139694755896926,0.046256834693879846,253323.375,0.002920143073424697,1.3760244655713905e-05,0.0037094803754318347,0.02752562426030636,0.00211404194124043,0.04597871182667507,253323.375,0.0021843824069947004,7.43861846785876e-06,0.0027273830805111996,0.027698775753378868,0.00212723296135664,0.04612193579368325,253323.375,0.004155178088694811,2.9182594516896643e-05,0.00540209167979373,0.02713066339492798,0.002078437013551593,0.045589878411239404,253323.375,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_B/ParkScene/000001_000002.npz,ParkScene,0.9663519859313965,ParkScene,0
0.9681930541992188,ParkScene__000000-000007,ParkScene__000000-000007,0.08724488317966461,0.2569463135063249,0.7252666354179382,0.994384765625,3,2,local_high_frequency_dominant,0.002527527743950486,0.0026446024421602488,0.920417631103896,0.920417631103896,moderate,0.7267319560050964,2.0266339778900146,0.028250861912965775,0.0022203626576811075,0.04712072429071,252624.0,0.0032777085434645414,1.6390869859606028e-05,0.004048563925592138,0.02782747521996498,0.0021924925968050957,0.046824060020518254,252624.0,0.0028311230707913637,1.0826381185324863e-05,0.0032903466664357516,0.027981506660580635,0.002205369295552373,0.046961359600765105,252624.0,0.0043687112629413605,3.1470921385334805e-05,0.005609894953146164,0.027448978275060654,0.0021564315538853407,0.046437393917890576,252624.0,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_B/ParkScene/000002_000003.npz,ParkScene,0.96368408203125,ParkScene,0
0.9700508117675781,ParkScene__000000-000007,ParkScene__000000-000007,0.03096570260822773,0.2475388114308316,0.7381317019462585,0.9943580627441406,4,3,local_high_frequency_dominant,0.0006624729721806943,0.0009336309740319848,0.9320786255550816,0.9320786255550816,moderate,0.7026059031486511,1.9964720010757446,0.028017906472086906,0.002252672566100955,0.047462327862220946,252780.5,0.0026861478108912706,1.18404277600348e-05,0.0034409922638731403,0.027691278606653214,0.0022297673858702183,0.047220412809188976,252780.5,0.001944473828189075,6.044610927347094e-06,0.0024585790463898236,0.027851415798068047,0.002242036396637559,0.04735014674356943,252780.5,0.00391005165874958,2.6094903660123236e-05,0.0051083171064571975,0.02732035703957081,0.0021971974056214094,0.04687427232098019,252780.5,spatially_localized,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_B/ParkScene/000003_000004.npz,ParkScene,0.9642810821533203,ParkScene,0
0.9819793701171875,ParkScene__000000-000007,ParkScene__000000-000007,0.04458323493599892,0.25877626162464545,0.7248325943946838,0.9940185546875,5,4,local_high_frequency_dominant,0.0014550996711477637,0.0014805688988417387,0.9264703799431125,0.9264703799431125,moderate,0.6705377697944641,2.1096534729003906,0.031034445390105247,0.0026577289681881666,0.051553166422521196,253101.171875,0.003128155367448926,1.6542011508136056e-05,0.004067187173973686,0.030641689896583557,0.0026261936873197556,0.051246401701190256,253101.171875,0.0022860588505864143,8.696379154571332e-06,0.002948962386089611,0.030832437798380852,0.0026426969561725855,0.051407168334509395,253101.171875,0.004567292053252459,3.6008863389724866e-05,0.006000738570353225,0.030163532122969627,0.002580334898084402,0.050796996939626284,253101.171875,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_B/ParkScene/000004_000005.npz,ParkScene,0.9655043482780457,ParkScene,0
0.9696121215820312,ParkScene__000000-000007,ParkScene__000000-000007,0.0968368649482727,0.28653382479283873,0.6968478560447693,0.9951744079589844,6,5,local_high_frequency_dominant,0.0032323773484677076,0.0032948264852166176,0.8995521173851054,0.8995521173851054,moderate,0.7628757953643799,2.0499730110168457,0.03171225264668465,0.0025987850967794657,0.05097828063773302,252565.21875,0.0045696585439145565,3.1766732718097046e-05,0.0056361984278498435,0.03096935898065567,0.0025476727169007063,0.05047447589525528,252565.21875,0.003874109825119376,2.0814093659282662e-05,0.004562246558361643,0.031227853149175644,0.00256916880607605,0.05068696879944637,252565.21875,0.005874139256775379,5.587877967627719e-05,0.007475211012157261,0.03042265586555004,0.0024964327458292246,0.04996431472390295,252565.21875,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_B/ParkScene/000005_000006.npz,ParkScene,0.963459849357605,ParkScene,0
0.9819793701171875,ParkScene__000000-000007,ParkScene__000000-000007,0.056390199810266495,0.2800589531069238,0.7049610018730164,0.9952735900878906,7,6,local_high_frequency_dominant,0.0017108594765886664,0.0018437090329825878,0.9077040918378312,0.9077040918378312,moderate,0.7106403708457947,2.0548653602600098,0.03048868477344513,0.0024374753702431917,0.04937079470945543,252396.171875,0.003823071951046586,2.4728677090024576e-05,0.004972793690675753,0.029940685257315636,0.002391798421740532,0.04890601621212396,252396.171875,0.002742779441177845,1.1965173143835273e-05,0.003459071138880389,0.0302260871976614,0.0024148691445589066,0.04914131809952707,252396.171875,0.005333472043275833,5.065742880105972e-05,0.007117403234400853,0.0293830968439579,0.0023382508661597967,0.04835546366399351,252396.171875,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_B/ParkScene/000006_000007.npz,ParkScene,0.96281498670578,ParkScene,0
0.9707069396972656,ParkScene__000006-000013,ParkScene__000000-000007,0.09393586963415146,0.2941705314602781,0.6896499395370483,0.9929733276367188,8,7,local_high_frequency_dominant,0.0028475371655076742,0.0030266752000898123,0.8944817799352848,0.8944817799352848,moderate,0.7877557873725891,2.1347105503082275,0.029886577278375626,0.0022890809923410416,0.047844341278159966,252469.015625,0.004591973498463631,3.115904110018164e-05,0.005582028403741926,0.0292400810867548,0.0022390931844711304,0.04731905730750699,252469.015625,0.003838922129943967,1.9650802641990595e-05,0.004432922584705332,0.029495039954781532,0.0022599492222070694,0.04753892323356798,252469.015625,0.005796503741294146,5.4368025303119794e-05,0.007373467657969335,0.02868981845676899,0.0021915382239967585,0.04681386785982075,252469.015625,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_B/ParkScene/000007_000008.npz,ParkScene,0.9630928635597229,ParkScene,1
0.9728012084960938,ParkScene__000006-000013,ParkScene__000006-000013,0.06464088708162308,0.2697423535920335,0.7187585830688477,0.9934577941894531,9,8,local_high_frequency_dominant,0.00151967687997967,0.0018017695983871818,0.9203723490658049,0.9203723490658049,moderate,0.7799150347709656,2.1714911460876465,0.025827355682849884,0.0018199901096522808,0.042661342098582425,253037.46875,0.0029201118741184473,1.344402971881209e-05,0.0036666101127352073,0.025425994768738747,0.001796092838048935,0.042380335511283236,253037.46875,0.0023160730488598347,7.90932790550869e-06,0.002812352734901632,0.025589492172002792,0.0018077836139127612,0.042518038688452706,253037.46875,0.003988843411207199,2.7035541279474273e-05,0.005199571259197654,0.025056444108486176,0.0017652335809543729,0.042014682921026225,253037.46875,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_B/ParkScene/000008_000009.npz,ParkScene,0.9652613401412964,ParkScene,0
0.98443603515625,ParkScene__000006-000013,ParkScene__000006-000013,0.17060677707195282,0.30235159727419547,0.6828830242156982,0.9943466186523438,10,9,local_high_frequency_dominant,0.005791887175291777,0.005877742078155279,0.866317518761163,0.866317518761163,moderate,0.797604501247406,2.112813949584961,0.031978197395801544,0.0025519824121147394,0.050517149683199064,253845.953125,0.006886414252221584,5.894984496990219e-05,0.007677880239356576,0.03045536018908024,0.0024756421335041523,0.04975582512132778,253845.953125,0.00645426893606782,4.904995876131579e-05,0.0070035675738380505,0.030688375234603882,0.002494795946404338,0.04994793235364541,253845.953125,0.007689228281378746,8.114048978313804e-05,0.009007801606559618,0.029923029243946075,0.0024284659884870052,0.04927946822447463,253845.953125,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_B/ParkScene/000009_000010.npz,ParkScene,0.9683454632759094,ParkScene,0
