file,tag,step,value,wall_time
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,450,0.0005240216269157827,1788153452.8975637
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,460,0.0005733713624067605,1788153546.5984585
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,470,0.0006113867275416851,1788153635.52061
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,480,0.0006191959837451577,1788153721.5922756
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,490,0.0006189593113958836,1788153812.6331165
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,500,0.0006243439856916666,1788153910.6164196
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,510,0.0006151635898277164,1788154000.3625016
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,520,0.000604987726546824,1788154091.8291056
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,530,0.000605396053288132,1788154197.0302775
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,540,0.0006026596529409289,1788154293.8779469
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,550,0.0006091789109632373,1788154391.9033659
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,560,0.0006388979963958263,1788154471.7974687
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,570,0.0006407856708392501,1788154559.8218715
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,580,0.0006356853991746902,1788154652.9155877
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,590,0.000632581883110106,1788154759.8398082
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,600,0.0006622941000387073,1788154850.22368
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,610,0.000668973894789815,1788154936.170784
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,620,0.000669201894197613,1788155017.3810282
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,630,0.0007005998631939292,1788155103.9724972
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,640,0.0007232351345010102,1788155203.6991816
