bg_current_fraction,clip_current,clip_previous,directional_coherence,energy_support90_fraction,energy_top10_fraction,flow_valid_fraction,frame_current,frame_previous,frequency_diagnosis,global_dc_l1,global_dc_rmse,local_frequency_share,local_rmse_share,motion_band,motion_mean_px,motion_p90_px,raw_temporal_l1,raw_temporal_mse,raw_temporal_rmse,raw_weight,sigma_16_coarse_l1,sigma_16_coarse_mse,sigma_16_coarse_rmse,sigma_16_local_l1,sigma_16_local_mse,sigma_16_local_rmse,sigma_16_weight,sigma_32_coarse_l1,sigma_32_coarse_mse,sigma_32_coarse_rmse,sigma_32_local_l1,sigma_32_local_mse,sigma_32_local_rmse,sigma_32_weight,sigma_8_coarse_l1,sigma_8_coarse_mse,sigma_8_coarse_rmse,sigma_8_local_l1,sigma_8_local_mse,sigma_8_local_rmse,sigma_8_weight,spatial_scope_diagnosis,status,teacher_flow,unit_id,valid_coverage,video,window_boundary
0.0479583740234375,RaceHorses__000000-000007,RaceHorses__000000-000007,0.05204305052757263,0.4742441935902426,0.4577200412750244,0.8614883422851562,1,0,local_high_frequency_dominant,0.003294253721833229,0.0037765654269605875,0.9029882766803966,0.9029882766803966,moderate,1.8872706890106201,1.9827057123184204,0.06905161589384079,0.007884904742240906,0.08879698611012035,7713.15478515625,0.007228305097669363,8.742514182813466e-05,0.009350141273164522,0.06786831468343735,0.007574467919766903,0.08703141915289503,6804.41845703125,0.002878377912566066,1.1509170690260362e-05,0.0033925168666139836,0.06817179173231125,0.00761936092749238,0.08728895077552702,5427.748046875,0.010829797945916653,0.00018170270777773112,0.013479714677163279,0.06790797412395477,0.00760191073641181,0.08718893700700686,7127.46484375,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_C/RaceHorses/000000_000001.npz,RaceHorses,0.02942335046827793,RaceHorses,0
0.064605712890625,RaceHorses__000000-000007,RaceHorses__000000-000007,0.09066493064165115,0.4865277626268136,0.44150668382644653,0.863861083984375,2,1,local_high_frequency_dominant,0.006145163904875517,0.006791666150093079,0.8886021376753475,0.8886021376753475,moving,2.7031545639038086,2.7281668186187744,0.07094738632440567,0.008221305906772614,0.09067141725357894,9148.3017578125,0.009210454300045967,0.0001244543818756938,0.011155912417892756,0.06986013799905777,0.007919015362858772,0.0889888496546549,8302.5244140625,0.009423977695405483,0.00011055693903472275,0.010514605985709724,0.06802637875080109,0.007476926315575838,0.08646922178194874,5645.453125,0.01104984525591135,0.0001809759414754808,0.013452729889337732,0.06942633539438248,0.007833568379282951,0.08850744815710682,8348.5419921875,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_C/RaceHorses/000001_000002.npz,RaceHorses,0.034898001700639725,RaceHorses,0
0.054576873779296875,RaceHorses__000000-000007,RaceHorses__000000-000007,0.07006825506687164,0.4731014118298422,0.45858311653137207,0.8272819519042969,3,2,local_high_frequency_dominant,0.0035957135260105133,0.004823322873562574,0.9198486305419551,0.9198486305419551,moving,2.898346424102783,2.9714293479919434,0.06571336090564728,0.007118688430637121,0.08437232028714821,10871.962890625,0.005072231404483318,4.93866391479969e-05,0.0070275628170793965,0.06375441700220108,0.006504595745354891,0.08065107404960513,9320.5703125,0.004464127589017153,3.0455765227088705e-05,0.0055186742273021245,0.0639967992901802,0.006557034328579903,0.08097551684663644,9332.5224609375,0.007043412420898676,0.00011551979696378112,0.010748013628749319,0.06267538666725159,0.006333671510219574,0.07958436724771753,9463.408203125,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_C/RaceHorses/000002_000003.npz,RaceHorses,0.04147324711084366,RaceHorses,0
0.0630645751953125,RaceHorses__000000-000007,RaceHorses__000000-000007,0.05366068333387375,0.49037749814951886,0.4466516673564911,0.8402519226074219,4,3,local_high_frequency_dominant,0.0026615837123245,0.0036102135200053453,0.9227996328046106,0.9227996328046106,moving,3.3397204875946045,3.3755571842193604,0.0637250617146492,0.006610540207475424,0.08130522866012631,10709.390625,0.0051456172950565815,4.301510489312932e-05,0.006558590160478799,0.06167842075228691,0.006146064028143883,0.07839683685037224,9769.2685546875,0.002896817633882165,1.8254289898322895e-05,0.004272503937777342,0.06206076964735985,0.006217027548700571,0.07884812964617849,9769.2685546875,0.008460549637675285,0.00011861023813253269,0.010890832756613825,0.0610402449965477,0.0060285707004368305,0.07764387097792608,9786.017578125,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_C/RaceHorses/000003_000004.npz,RaceHorses,0.04085308313369751,RaceHorses,0
0.0868377685546875,RaceHorses__000000-000007,RaceHorses__000000-000007,0.02491649240255356,0.4695396547410558,0.46083390712738037,0.8554573059082031,5,4,local_high_frequency_dominant,0.0015255530597642064,0.0017447593854740262,0.8895065268664867,0.8895065268664867,moving,4.116477966308594,4.156164169311523,0.06611709296703339,0.007381106726825237,0.08591336756771462,16094.015625,0.008203077130019665,9.931972454069182e-05,0.009965928182597535,0.06200552359223366,0.00643665948882699,0.0802287946365081,14174.455078125,0.006069976836442947,5.663745469064452e-05,0.007525785984908454,0.06002744659781456,0.00591162359341979,0.076887083397797,11542.9990234375,0.010753395967185497,0.0001812558766687289,0.01346313027006457,0.06151783466339111,0.006331069860607386,0.07956802033862213,14290.826171875,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_C/RaceHorses/000004_000005.npz,RaceHorses,0.061393797397613525,RaceHorses,0
0.09427261352539062,RaceHorses__000000-000007,RaceHorses__000000-000007,0.10443009436130524,0.5077344820834149,0.445422887802124,0.8326225280761719,6,5,local_high_frequency_dominant,0.005357944872230291,0.006627047434449196,0.8887556308828581,0.8887556308828581,moving,4.5250630378723145,4.646860122680664,0.05938485637307167,0.0057997205294668674,0.07615589622259637,15387.5927734375,0.007119408342987299,8.186521154129878e-05,0.0090479396296228,0.05663039907813072,0.005225261673331261,0.07228597148362371,13829.2431640625,0.005765045993030071,5.0172562623629346e-05,0.007083259322065608,0.057070787996053696,0.005294954404234886,0.07276643734741234,13828.0859375,0.00965942069888115,0.00015245865506585687,0.012347414914299141,0.05603240430355072,0.005128761287778616,0.0716153704715588,13829.2431640625,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_C/RaceHorses/000005_000006.npz,RaceHorses,0.05869900807738304,RaceHorses,0
0.17779159545898438,RaceHorses__000000-000007,RaceHorses__000000-000007,0.148151695728302,0.52003856795506,0.44231173396110535,0.8966903686523438,7,6,local_high_frequency_dominant,0.009144207462668419,0.009458804503083229,0.8535465112315799,0.8535465112315799,moving,4.896575450897217,5.002988815307617,0.05882255360484123,0.005800333339720964,0.07615991950968018,23899.6953125,0.009992212988436222,0.00015656593313906342,0.012512630943932752,0.05645249783992767,0.005318047478795052,0.07292494414667076,21975.58203125,0.008888759650290012,9.661862713983282e-05,0.009829477460162002,0.05522245541214943,0.00505231786519289,0.07107965858945083,19760.1875,0.011919602751731873,0.0002509402693249285,0.015841094322202886,0.05634468421339989,0.00531028350815177,0.07287169209063125,23341.177734375,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_C/RaceHorses/000006_000007.npz,RaceHorses,0.09117010235786438,RaceHorses,0
0.2786865234375,RaceHorses__000006-000013,RaceHorses__000000-000007,0.15346360206604004,0.5037479240540419,0.457189679145813,0.8811759948730469,8,7,local_high_frequency_dominant,0.008981915190815926,0.011507670395076275,0.84461461996548,0.84461461996548,moving,5.009610652923584,5.080946445465088,0.06953226774930954,0.008195008151233196,0.09052628431142636,44544.72265625,0.012604895979166031,0.0002623154141474515,0.016196154301174447,0.06768662482500076,0.00775033887475729,0.08803600896654329,43704.7578125,0.01147656049579382,0.00021449383348226547,0.014645607992919429,0.06804564595222473,0.007828214205801487,0.08847719596484445,43716.375,0.014521551318466663,0.0003537119773682207,0.01880723204961912,0.06713990867137909,0.007629786618053913,0.08734864977808136,44152.02734375,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_C/RaceHorses/000007_000008.npz,RaceHorses,0.16992463171482086,RaceHorses,1
0.2488555908203125,RaceHorses__000006-000013,RaceHorses__000006-000013,0.10073419660329819,0.5047723657298689,0.4499146044254303,0.8795700073242188,9,8,local_high_frequency_dominant,0.006645990535616875,0.007001836318522692,0.8827038201454018,0.8827038201454018,moving,5.305096626281738,5.492432117462158,0.06466125696897507,0.006986760534346104,0.08358684426598545,52822.96484375,0.008677261881530285,0.00011871597962453961,0.01089568628515614,0.06336794048547745,0.006723129190504551,0.08199469001407683,52285.6015625,0.007566563319414854,8.390873699681833e-05,0.009160171231850327,0.06379983574151993,0.006806021556258202,0.08249861548085641,52311.37890625,0.011171028949320316,0.00021148067025933415,0.014542374986890351,0.06260541081428528,0.0065689426846802235,0.08104901408826774,52437.59375,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_C/RaceHorses/000008_000009.npz,RaceHorses,0.20150361955165863,RaceHorses,0
0.2842750549316406,RaceHorses__000006-000013,RaceHorses__000006-000013,0.08315176516771317,0.4962252079334613,0.456527978181839,0.8874893188476562,10,9,local_high_frequency_dominant,0.004755187779664993,0.005568573717027903,0.8986818211163689,0.8986818211163689,moving,5.699916362762451,5.8356170654296875,0.062345363199710846,0.0065694241784513,0.08105198442019355,62463.58984375,0.00714086601510644,8.092831558315083e-05,0.008996016650893373,0.061370063573122025,0.006367041263729334,0.07979374200856439,62163.59375,0.005992214661091566,5.6324806791963056e-05,0.007504985462475131,0.06168973818421364,0.006434980779886246,0.08021833194405283,62186.91015625,0.009561524726450443,0.00015433927183039486,0.012423335777092837,0.06089010089635849,0.006272494327276945,0.07919908034363117,62445.2890625,distributed_or_mixed,ok,/home/cilab/ndquan/videoInpainting/code/BrushNet/examples/brushnet/dataset_test_stc/teacher_flows_512x512/test/Class_C/RaceHorses/000009_000010.npz,RaceHorses,0.23827968537807465,RaceHorses,0
